timestamp,algorithm,nodes,edges,avg_degree,time_ms
2025-06-24 07:24:24,dijkstra_heap,6,6,2.0,0.0524
2025-06-24 08:42:00,bfs,6,6,2.0,0.0437
2025-06-24 08:42:22,bfs,6,6,2.0,0.0365
2025-06-24 08:43:05,dijkstra_heap,6,6,2.0,0.042
2025-06-24 08:45:07,bfs,5,2,0.8,0.0335
2025-06-24 11:44:08,bfs,5,2,0.8,0.0357
2025-06-24 12:25:10,dfs,5,2,0.8,0.0463
2025-06-24 20:12:26,dfs,5,2,0.8,0.059
2025-06-24 20:14:29,dfs,5,2,0.8,0.0417
2025-06-24 20:14:32,dfs,3,1,0.67,0.045
2025-06-24 20:14:34,topological_sort,4,1,0.5,0.0819
2025-06-24 20:14:35,topological_sort,5,4,1.6,0.1545
2025-06-24 20:14:37,dijkstra_heap,5,3,1.2,0.0987
2025-06-24 20:14:39,dfs,5,10,4.0,0.0565
2025-06-24 20:14:42,dijkstra_heap,4,1,0.5,0.0646
2025-06-24 20:14:44,dijkstra_heap,3,1,0.67,0.1333
2025-06-24 20:14:46,topological_sort,1,0,0.0,0.0361
